ID_Client,Date_Transaction,Montant,Magasin,Categorie_Produit,Quantite,Mode_Paiement,Satisfaction_Client
1223,2024-12-01,296.42,Lille,Vêtements,4,Carte bancaire,2
3668,2024-12-01,695.75,Marseille,Vêtements,8,Carte bancaire,1
1778,2024-12-01,908.55,Lyon,Électronique,5,Carte bancaire,1
1305,2024-12-01,959.62,Marseille,Meubles,4,Carte bancaire,5
4860,2024-12-01,45.33,Paris,Vêtements,8,PayPal,4
702,2024-12-01,990.29,Bordeaux,Vêtements,1,PayPal,5
2990,2024-12-01,336.05,Marseille,Vêtements,9,Carte bancaire,3
152,2024-12-01,846.1,Lille,Vêtements,2,PayPal,1
1326,2024-12-01,196.69,Lille,Électronique,8,Carte bancaire,5
1302,2024-12-01,81.64,Lyon,Vêtements,9,Carte bancaire,1
3723,2024-12-01,390.79,Lille,Vêtements,8,Carte bancaire,4
1712,2024-12-01,861.75,Lille,Électronique,9,Espèces,5
807,2024-12-01,236.41,Marseille,Vêtements,4,Carte bancaire,1
4331,2024-12-01,170.88,Lyon,Vêtements,2,Carte bancaire,2
2723,2024-12-01,911.61,Bordeaux,Électronique,3,Carte bancaire,4
4657,2024-12-01,939.57,Paris,Meubles,8,Carte bancaire,2
1326,2024-12-01,32.3,Marseille,Vêtements,5,Carte bancaire,3
4134,2024-12-01,732.89,Paris,Électronique,4,PayPal,4
1160,2024-12-01,323.02,Marseille,Vêtements,3,Carte bancaire,1
2870,2024-12-01,387.21,Lille,Vêtements,3,PayPal,2
4517,2024-12-01,479.72,Paris,Électronique,7,Carte bancaire,3
1243,2024-12-01,438.26,Bordeaux,Meubles,8,PayPal,2
348,2024-12-01,524.67,Paris,Meubles,5,PayPal,4
1832,2024-12-01,590.71,Marseille,Meubles,8,Carte bancaire,2
1570,2024-12-01,476.28,Marseille,Électronique,9,Carte bancaire,2
3936,2024-12-01,707.53,Paris,Meubles,4,PayPal,5
1919,2024-12-01,724.23,Marseille,Meubles,2,Espèces,1
3233,2024-12-01,451.55,Bordeaux,Meubles,5,Carte bancaire,2
3759,2024-12-01,159.61,Lyon,Meubles,2,Carte bancaire,5
2356,2024-12-01,647.83,Marseille,Électronique,2,Espèces,1
1398,2024-12-01,777.5,Marseille,Électronique,6,PayPal,4
2781,2024-12-01,645.35,Paris,Électronique,1,PayPal,4
1825,2024-12-01,596.29,Lille,Vêtements,2,Carte bancaire,5
2492,2024-12-01,244.82,Marseille,Meubles,5,Carte bancaire,5
4061,2024-12-01,652.23,Lyon,Vêtements,5,Carte bancaire,4
405,2024-12-01,348.16,Paris,Meubles,3,Carte bancaire,3
1722,2024-12-01,921.17,Lyon,Électronique,5,PayPal,1
2826,2024-12-01,660.65,Marseille,Électronique,9,Carte bancaire,1
3846,2024-12-01,292.62,Marseille,Électronique,2,Carte bancaire,5
4211,2024-12-01,483.47,Marseille,Vêtements,6,PayPal,1
3193,2024-12-01,849.65,Bordeaux,Meubles,8,PayPal,3
65,2024-12-01,348.75,Lyon,Meubles,3,PayPal,1
1300,2024-12-01,534.93,Lyon,Vêtements,2,Carte bancaire,5
4921,2024-12-01,686.08,Lille,Meubles,1,Carte bancaire,2
1416,2024-12-01,759.44,Lille,Électronique,1,Carte bancaire,2
3594,2024-12-01,190.41,Lyon,Vêtements,4,Carte bancaire,5
969,2024-12-01,573.85,Marseille,Électronique,6,Carte bancaire,2
369,2024-12-01,913.96,Paris,Électronique,7,Carte bancaire,1
233,2024-12-01,968.99,Paris,Meubles,8,Carte bancaire,5
2243,2024-12-01,663.02,Bordeaux,Meubles,8,Carte bancaire,5
3084,2024-12-01,983.99,Lyon,Électronique,1,Carte bancaire,5
921,2024-12-01,579.32,Paris,Électronique,8,Carte bancaire,2
689,2024-12-01,453.75,Bordeaux,Électronique,1,Carte bancaire,4
4273,2024-12-01,560.56,Lille,Électronique,3,Carte bancaire,2
1470,2024-12-01,133.4,Lille,Vêtements,5,Carte bancaire,5
4726,2024-12-01,413.68,Marseille,Vêtements,8,PayPal,1
4260,2024-12-01,469.24,Lyon,Vêtements,8,Carte bancaire,4
3623,2024-12-01,851.66,Paris,Électronique,6,PayPal,5
2101,2024-12-01,763.48,Bordeaux,Électronique,4,Carte bancaire,2
2266,2024-12-01,609.4,Lille,Électronique,4,Carte bancaire,3
3790,2024-12-01,360.33,Bordeaux,Meubles,8,PayPal,5
824,2024-12-01,203.29,Bordeaux,Meubles,3,Carte bancaire,1
3432,2024-12-01,360.81,Paris,Électronique,8,Carte bancaire,3
4152,2024-12-01,686.21,Lyon,Électronique,4,Carte bancaire,3
4214,2024-12-01,277.78,Lyon,Électronique,9,Carte bancaire,2
798,2024-12-01,438.35,Bordeaux,Électronique,2,Carte bancaire,2
780,2024-12-01,399.03,Paris,Électronique,1,Carte bancaire,4
2851,2024-12-01,770.28,Lyon,Meubles,4,Carte bancaire,5
2893,2024-12-01,886.11,Paris,Meubles,9,Carte bancaire,4
1894,2024-12-01,705.38,Marseille,Électronique,7,Carte bancaire,4
3307,2024-12-01,354.77,Bordeaux,Électronique,9,Carte bancaire,3
2903,2024-12-01,444.51,Marseille,Électronique,9,Carte bancaire,2
4804,2024-12-01,160.48,Bordeaux,Électronique,9,PayPal,3
3719,2024-12-01,184.74,Marseille,Vêtements,9,PayPal,5
22,2024-12-01,181.01,Paris,Vêtements,7,Carte bancaire,4
1501,2024-12-01,147.97,Lyon,Vêtements,8,Espèces,4
843,2024-12-01,195.99,Lille,Meubles,2,Carte bancaire,5
1761,2024-12-01,218.63,Paris,Vêtements,9,Carte bancaire,4
3642,2024-12-01,129.61,Paris,Électronique,2,Carte bancaire,2
192,2024-12-01,647.46,Lyon,Électronique,8,Carte bancaire,2
396,2024-12-01,990.59,Lyon,Électronique,2,Carte bancaire,4
4663,2024-12-01,881.6,Lyon,Vêtements,8,Carte bancaire,5
4327,2024-12-01,64.69,Marseille,Vêtements,3,PayPal,3
874,2024-12-01,434.6,Lille,Meubles,2,PayPal,4
2622,2024-12-01,862.12,Bordeaux,Meubles,6,Carte bancaire,1
4336,2024-12-01,151.98,Paris,Meubles,6,Carte bancaire,2
90,2024-12-01,850.69,Marseille,Vêtements,1,Carte bancaire,1
2280,2024-12-01,600.85,Bordeaux,Vêtements,7,PayPal,1
457,2024-12-01,932.67,Bordeaux,Meubles,1,Carte bancaire,1
2281,2024-12-01,878.52,Lyon,Électronique,4,Espèces,4
4450,2024-12-01,683.49,Lyon,Électronique,6,Carte bancaire,4
1005,2024-12-01,664.67,Bordeaux,Électronique,8,Carte bancaire,1
4535,2024-12-01,228.9,Bordeaux,Vêtements,8,Carte bancaire,4
345,2024-12-01,134.42,Lyon,Meubles,7,Carte bancaire,1
2712,2024-12-01,427.09,Paris,Électronique,5,Carte bancaire,1
4753,2024-12-01,202.85,Marseille,Vêtements,6,Carte bancaire,3
2463,2024-12-01,120.37,Paris,Vêtements,8,Carte bancaire,3
1117,2024-12-01,316.28,Paris,Meubles,3,Espèces,3
626,2024-12-01,863.28,Lyon,Vêtements,6,Espèces,5
4380,2024-12-01,36.81,Lyon,Meubles,4,Carte bancaire,2
1980,2024-12-01,306.78,Lyon,Électronique,3,PayPal,4
3995,2024-12-01,435.57,Lyon,Meubles,3,Carte bancaire,3
1679,2024-12-01,520.36,Paris,Électronique,4,Carte bancaire,2
223,2024-12-01,197.95,Paris,Vêtements,6,Carte bancaire,2
744,2024-12-01,964.94,Paris,Électronique,1,Carte bancaire,4
463,2024-12-01,587.3,Lyon,Meubles,2,PayPal,5
1569,2024-12-01,531.67,Paris,Meubles,4,Carte bancaire,1
3348,2024-12-01,28.65,Paris,Meubles,9,PayPal,3
1737,2024-12-01,496.0,Lyon,Vêtements,8,PayPal,5
4040,2024-12-01,840.92,Paris,Vêtements,8,Carte bancaire,4
3952,2024-12-01,235.25,Paris,Électronique,7,Carte bancaire,5
665,2024-12-01,364.18,Bordeaux,Vêtements,6,Carte bancaire,2
1357,2024-12-01,40.16,Lyon,Électronique,7,Carte bancaire,5
1015,2024-12-01,977.39,Bordeaux,Meubles,6,Carte bancaire,3
2133,2024-12-01,85.32,Lyon,Meubles,3,Carte bancaire,5
2669,2024-12-01,900.26,Lille,Meubles,6,PayPal,5
1055,2024-12-01,326.73,Paris,Vêtements,7,PayPal,2
1765,2024-12-01,595.81,Marseille,Vêtements,6,Carte bancaire,5
4459,2024-12-01,685.73,Lyon,Vêtements,2,Carte bancaire,2
2870,2024-12-01,158.01,Lille,Vêtements,6,Carte bancaire,3
1413,2024-12-01,454.88,Lyon,Électronique,2,PayPal,3
668,2024-12-01,338.96,Bordeaux,Meubles,1,Carte bancaire,1
3371,2024-12-01,75.47,Marseille,Électronique,5,PayPal,1
1395,2024-12-01,836.53,Marseille,Vêtements,4,Espèces,2
99,2024-12-01,64.26,Bordeaux,Meubles,9,Carte bancaire,1
4071,2024-12-01,660.19,Lille,Meubles,9,Espèces,1
422,2024-12-01,327.8,Marseille,Meubles,9,Carte bancaire,4
3651,2024-12-01,208.29,Lyon,Électronique,3,Carte bancaire,1
4158,2024-12-01,673.74,Paris,Électronique,3,Carte bancaire,5
1133,2024-12-01,583.05,Lyon,Électronique,3,Carte bancaire,3
1703,2024-12-01,328.95,Paris,Meubles,5,Carte bancaire,1
3621,2024-12-01,522.7,Paris,Électronique,6,PayPal,2
3191,2024-12-01,261.31,Marseille,Meubles,6,Carte bancaire,4
598,2024-12-01,866.42,Bordeaux,Meubles,3,Carte bancaire,4
392,2024-12-01,327.54,Paris,Meubles,2,Espèces,3
1076,2024-12-01,260.25,Marseille,Électronique,6,PayPal,3
2651,2024-12-01,756.8,Lyon,Électronique,4,Carte bancaire,2
2385,2024-12-01,37.24,Bordeaux,Meubles,9,Carte bancaire,2
810,2024-12-01,282.65,Paris,Meubles,2,PayPal,2
3310,2024-12-01,387.89,Marseille,Meubles,4,Carte bancaire,4
3739,2024-12-01,884.59,Lille,Électronique,2,Carte bancaire,4
1160,2024-12-01,951.43,Lyon,Vêtements,5,PayPal,2
1532,2024-12-01,722.15,Marseille,Vêtements,3,Carte bancaire,1
4977,2024-12-01,502.68,Bordeaux,Électronique,4,Espèces,1
2683,2024-12-01,647.81,Paris,Vêtements,9,PayPal,2
254,2024-12-01,425.72,Lille,Vêtements,5,Espèces,2
3549,2024-12-01,312.85,Bordeaux,Électronique,9,Espèces,4
3186,2024-12-01,951.67,Paris,Électronique,5,Carte bancaire,1
1232,2024-12-01,133.08,Lyon,Vêtements,9,PayPal,3
2424,2024-12-01,359.47,Marseille,Vêtements,8,Carte bancaire,3
3576,2024-12-01,901.11,Bordeaux,Électronique,1,Carte bancaire,5
4262,2024-12-01,728.68,Paris,Électronique,3,Carte bancaire,3
1574,2024-12-01,48.52,Marseille,Meubles,5,Carte bancaire,1
2909,2024-12-01,42.64,Paris,Meubles,3,Carte bancaire,4
4713,2024-12-01,526.18,Bordeaux,Meubles,1,PayPal,1
1626,2024-12-01,494.57,Marseille,Électronique,2,Carte bancaire,1
3999,2024-12-01,454.13,Lyon,Électronique,2,Carte bancaire,3
3884,2024-12-01,316.3,Marseille,Meubles,4,PayPal,2
3516,2024-12-01,986.91,Bordeaux,Électronique,6,Carte bancaire,5
3404,2024-12-01,286.55,Lyon,Vêtements,2,PayPal,3
4599,2024-12-01,500.24,Bordeaux,Électronique,6,Espèces,3
4681,2024-12-01,416.8,Paris,Électronique,1,PayPal,3
1959,2024-12-01,186.84,Marseille,Meubles,8,Carte bancaire,5
4010,2024-12-01,218.57,Bordeaux,Meubles,3,PayPal,4
2736,2024-12-01,919.94,Lyon,Meubles,8,PayPal,3
4492,2024-12-01,861.11,Bordeaux,Meubles,3,PayPal,4
3175,2024-12-01,215.06,Marseille,Vêtements,1,PayPal,4
402,2024-12-01,878.15,Lille,Vêtements,4,PayPal,1
975,2024-12-01,225.0,Paris,Électronique,3,Carte bancaire,2
224,2024-12-01,634.02,Paris,Vêtements,8,PayPal,5
4614,2024-12-01,99.65,Bordeaux,Électronique,1,Carte bancaire,2
236,2024-12-01,882.76,Bordeaux,Meubles,9,PayPal,4
3499,2024-12-01,70.47,Lyon,Vêtements,9,Carte bancaire,4
4212,2024-12-01,563.84,Lille,Vêtements,6,Carte bancaire,5
3235,2024-12-01,784.12,Marseille,Vêtements,5,Carte bancaire,2
226,2024-12-01,134.5,Lille,Électronique,5,Carte bancaire,1
2278,2024-12-01,416.39,Lyon,Meubles,6,Carte bancaire,2
4278,2024-12-01,61.11,Paris,Meubles,7,Carte bancaire,3
1342,2024-12-01,689.1,Lyon,Vêtements,8,Carte bancaire,2
4037,2024-12-01,321.3,Lille,Meubles,3,PayPal,4
210,2024-12-01,568.21,Lyon,Électronique,1,Carte bancaire,5
3728,2024-12-01,934.08,Lille,Meubles,5,PayPal,3
3929,2024-12-01,319.74,Bordeaux,Vêtements,1,PayPal,4
4990,2024-12-01,67.65,Lyon,Meubles,2,Carte bancaire,2
2804,2024-12-01,682.12,Lyon,Meubles,8,Carte bancaire,5
1110,2024-12-01,791.1,Marseille,Électronique,3,PayPal,3
2027,2024-12-01,958.71,Marseille,Meubles,4,PayPal,2
394,2024-12-01,174.64,Paris,Meubles,6,Carte bancaire,3
844,2024-12-01,404.3,Lille,Vêtements,8,Espèces,1
1525,2024-12-01,847.26,Marseille,Meubles,1,Carte bancaire,1
604,2024-12-01,810.73,Lille,Meubles,2,Carte bancaire,5
582,2024-12-01,632.3,Marseille,Électronique,6,PayPal,1
1940,2024-12-01,283.98,Lyon,Meubles,8,Espèces,4
133,2024-12-01,298.35,Marseille,Vêtements,8,Carte bancaire,2
2839,2024-12-01,141.52,Bordeaux,Meubles,3,Carte bancaire,3
3386,2024-12-01,923.42,Lyon,Vêtements,4,Espèces,3
3771,2024-12-01,189.47,Lille,Vêtements,4,Carte bancaire,1
2269,2024-12-01,581.43,Lyon,Meubles,4,Espèces,3
976,2024-12-01,592.66,Lille,Vêtements,2,PayPal,3
1814,2024-12-01,382.21,Bordeaux,Vêtements,6,Carte bancaire,2
3264,2024-12-01,365.47,Bordeaux,Vêtements,8,Carte bancaire,5
1544,2024-12-01,675.22,Lyon,Vêtements,9,Carte bancaire,3
2836,2024-12-01,400.53,Marseille,Vêtements,1,Carte bancaire,1
2739,2024-12-01,270.01,Bordeaux,Électronique,1,Carte bancaire,1
1358,2024-12-01,411.15,Lyon,Électronique,9,PayPal,5
4135,2024-12-01,811.51,Marseille,Électronique,4,Carte bancaire,3
1317,2024-12-01,967.15,Bordeaux,Vêtements,7,PayPal,3
162,2024-12-01,643.23,Lyon,Vêtements,2,Espèces,3
1910,2024-12-01,786.46,Lyon,Vêtements,1,Carte bancaire,5
1128,2024-12-01,542.17,Paris,Électronique,7,Carte bancaire,1
3871,2024-12-01,632.33,Paris,Électronique,6,Carte bancaire,3
1659,2024-12-01,988.32,Lille,Vêtements,3,Carte bancaire,3
3126,2024-12-01,449.65,Bordeaux,Vêtements,4,PayPal,4
1964,2024-12-01,84.93,Paris,Vêtements,1,PayPal,2
2290,2024-12-01,957.87,Bordeaux,Électronique,7,PayPal,5
967,2024-12-01,797.2,Paris,Vêtements,9,Carte bancaire,2
890,2024-12-01,410.34,Lyon,Meubles,1,PayPal,5
3062,2024-12-01,982.75,Paris,Vêtements,2,Carte bancaire,2
3630,2024-12-01,358.63,Lille,Électronique,2,Carte bancaire,4
3190,2024-12-01,384.68,Lille,Électronique,6,Carte bancaire,2
2749,2024-12-01,617.54,Marseille,Meubles,5,Carte bancaire,3
1667,2024-12-01,288.86,Lyon,Vêtements,6,Espèces,2
3067,2024-12-01,704.6,Lyon,Électronique,1,Espèces,2
1442,2024-12-01,169.79,Bordeaux,Meubles,6,Espèces,1
1068,2024-12-01,125.86,Paris,Électronique,6,Carte bancaire,5
4224,2024-12-01,544.18,Lyon,Vêtements,7,PayPal,2
2924,2024-12-01,564.38,Marseille,Électronique,2,PayPal,3
4254,2024-12-01,124.52,Lyon,Électronique,6,PayPal,3
3857,2024-12-01,964.89,Paris,Vêtements,9,Carte bancaire,5
827,2024-12-01,581.82,Lyon,Électronique,9,PayPal,4
4608,2024-12-01,168.01,Marseille,Électronique,2,Carte bancaire,5
3986,2024-12-01,325.21,Lille,Meubles,5,PayPal,3
2093,2024-12-01,804.23,Paris,Électronique,7,PayPal,4
3180,2024-12-01,532.77,Lyon,Vêtements,5,PayPal,4
4539,2024-12-01,204.39,Lyon,Électronique,3,PayPal,1
3902,2024-12-01,120.79,Paris,Meubles,1,Carte bancaire,2
2363,2024-12-01,442.16,Marseille,Meubles,7,Espèces,1
2225,2024-12-01,350.67,Paris,Électronique,8,Carte bancaire,2
1727,2024-12-01,662.8,Paris,Vêtements,6,Carte bancaire,1
2007,2024-12-01,926.74,Bordeaux,Meubles,7,Carte bancaire,4
267,2024-12-01,262.78,Lyon,Électronique,9,PayPal,2
838,2024-12-01,858.13,Lille,Vêtements,2,PayPal,3
4585,2024-12-01,922.05,Lyon,Meubles,5,Espèces,4
4798,2024-12-01,903.96,Lyon,Électronique,3,Carte bancaire,5
687,2024-12-01,953.04,Lyon,Meubles,2,Carte bancaire,4
3362,2024-12-01,845.27,Paris,Électronique,3,Carte bancaire,3
357,2024-12-01,601.62,Lille,Vêtements,4,PayPal,1
3816,2024-12-01,421.65,Marseille,Électronique,2,Carte bancaire,2
872,2024-12-01,501.85,Lyon,Vêtements,2,PayPal,1
1974,2024-12-01,875.16,Marseille,Électronique,8,Espèces,1
4648,2024-12-01,315.37,Lille,Électronique,3,Carte bancaire,2
1811,2024-12-01,176.08,Paris,Vêtements,3,PayPal,1
4419,2024-12-01,158.0,Paris,Électronique,4,Carte bancaire,3
2642,2024-12-01,830.45,Paris,Vêtements,5,Carte bancaire,5
2229,2024-12-01,766.26,Bordeaux,Électronique,3,Carte bancaire,2
3392,2024-12-01,507.69,Paris,Électronique,6,PayPal,1
4179,2024-12-01,289.37,Lyon,Vêtements,3,Carte bancaire,2
2351,2024-12-01,684.06,Lyon,Électronique,8,Carte bancaire,1
4358,2024-12-01,57.66,Marseille,Meubles,4,Espèces,3
4880,2024-12-01,576.86,Bordeaux,Vêtements,5,Carte bancaire,4
2740,2024-12-01,410.46,Lyon,Meubles,3,PayPal,5
2731,2024-12-01,978.3,Lyon,Électronique,5,PayPal,5
1319,2024-12-01,517.41,Lille,Vêtements,7,Carte bancaire,2
1536,2024-12-01,561.22,Paris,Vêtements,3,Carte bancaire,5
4785,2024-12-01,718.12,Paris,Électronique,3,Carte bancaire,1
2444,2024-12-01,494.85,Marseille,Meubles,1,Espèces,3
1773,2024-12-01,240.08,Bordeaux,Meubles,2,Carte bancaire,3
3210,2024-12-01,546.53,Lyon,Électronique,4,PayPal,2
4935,2024-12-01,945.38,Paris,Meubles,9,PayPal,1
878,2024-12-01,421.71,Bordeaux,Meubles,3,Carte bancaire,5
2871,2024-12-01,686.05,Marseille,Électronique,5,PayPal,1
3201,2024-12-01,978.47,Bordeaux,Électronique,9,Carte bancaire,5
4145,2024-12-01,833.32,Bordeaux,Vêtements,4,Carte bancaire,1
3748,2024-12-01,665.85,Paris,Électronique,4,Carte bancaire,5
2837,2024-12-01,741.28,Bordeaux,Électronique,6,Espèces,5
293,2024-12-01,937.75,Paris,Électronique,7,Espèces,3
1652,2024-12-01,960.56,Bordeaux,Électronique,6,Carte bancaire,4
4632,2024-12-01,969.59,Bordeaux,Vêtements,4,PayPal,4
4407,2024-12-01,633.13,Marseille,Électronique,7,PayPal,2
537,2024-12-01,397.02,Marseille,Électronique,3,Carte bancaire,4
2687,2024-12-01,150.49,Paris,Électronique,3,PayPal,2
234,2024-12-01,397.84,Paris,Vêtements,7,Carte bancaire,3
2653,2024-12-01,944.1,Lyon,Vêtements,6,Carte bancaire,2
2375,2024-12-01,892.0,Bordeaux,Meubles,2,PayPal,4
2273,2024-12-01,533.19,Lyon,Meubles,1,Carte bancaire,5
967,2024-12-01,546.27,Paris,Électronique,6,Carte bancaire,2
890,2024-12-01,322.74,Bordeaux,Électronique,9,Carte bancaire,4
3864,2024-12-01,465.42,Paris,Vêtements,3,Carte bancaire,4
3401,2024-12-01,720.16,Bordeaux,Électronique,9,PayPal,5
35,2024-12-01,414.38,Lyon,Électronique,6,PayPal,1
4543,2024-12-01,204.22,Lyon,Électronique,4,Carte bancaire,4
3524,2024-12-01,550.04,Paris,Vêtements,2,Carte bancaire,3
1764,2024-12-01,240.83,Lille,Vêtements,9,PayPal,5
3292,2024-12-01,974.8,Paris,Meubles,5,Espèces,1
2489,2024-12-01,402.53,Paris,Vêtements,5,Carte bancaire,5
2701,2024-12-01,911.47,Marseille,Vêtements,2,PayPal,2
1559,2024-12-01,241.04,Bordeaux,Vêtements,5,Carte bancaire,4
4691,2024-12-01,205.42,Paris,Électronique,6,PayPal,4
2277,2024-12-01,624.56,Marseille,Électronique,2,Carte bancaire,5
4007,2024-12-01,783.79,Marseille,Meubles,1,PayPal,2
4440,2024-12-01,575.43,Marseille,Électronique,6,Carte bancaire,5
1104,2024-12-01,245.2,Lyon,Électronique,9,Carte bancaire,3
1420,2024-12-01,57.14,Lyon,Électronique,9,Carte bancaire,4
1479,2024-12-01,625.92,Lyon,Électronique,9,PayPal,4
3915,2024-12-01,148.42,Marseille,Électronique,5,Carte bancaire,3
3743,2024-12-01,356.31,Paris,Vêtements,1,Carte bancaire,1
2957,2024-12-01,682.27,Marseille,Électronique,3,PayPal,4
1383,2024-12-01,116.06,Paris,Électronique,8,PayPal,5
2575,2024-12-01,144.71,Lyon,Meubles,9,PayPal,1
3385,2024-12-01,80.43,Marseille,Meubles,4,Espèces,1
1570,2024-12-01,996.16,Bordeaux,Vêtements,3,Carte bancaire,5
1895,2024-12-01,399.34,Marseille,Vêtements,2,PayPal,3
2244,2024-12-01,907.68,Paris,Électronique,5,Espèces,1
1867,2024-12-01,307.71,Paris,Meubles,2,Carte bancaire,4
29,2024-12-01,758.14,Marseille,Vêtements,9,PayPal,2
706,2024-12-01,234.69,Lyon,Vêtements,9,Carte bancaire,1
1021,2024-12-01,508.36,Marseille,Vêtements,3,Espèces,3
2064,2024-12-01,828.12,Lyon,Vêtements,4,Carte bancaire,5
1447,2024-12-01,820.01,Bordeaux,Vêtements,9,Carte bancaire,4
3665,2024-12-01,798.4,Lille,Vêtements,1,PayPal,2
2988,2024-12-01,827.26,Paris,Vêtements,7,Carte bancaire,1
3603,2024-12-01,227.24,Marseille,Meubles,2,PayPal,3
3686,2024-12-01,492.57,Paris,Vêtements,9,PayPal,2
3369,2024-12-01,495.17,Lyon,Électronique,3,Carte bancaire,2
3582,2024-12-01,892.69,Lyon,Vêtements,6,Carte bancaire,4
2763,2024-12-01,310.95,Marseille,Meubles,5,Carte bancaire,4
